season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Reilly Smith,PIT,RW,13,27,40,3,18,0,0,0,152,0,55,28,0
2023/24,Rasmus Andersson,CGY,D,9,30,39,-11,47,0,0,0,159,0,42,186,0
2023/24,Mikael Backlund,CGY,C,15,24,39,-4,24,0,0,0,209,0,70,33,0
2023/24,Luke Evangelista,NSH,RW,16,23,39,0,18,0,0,0,172,0,30,23,0
2023/24,Gustav Forsling,FLA,D,10,29,39,56,43,0,0,0,160,0,111,102,0
2023/24,Cam Fowler,ANA,D,5,34,39,-36,24,0,0,0,109,0,41,119,0
2023/24,Morgan Geekie,BOS,C,17,22,39,6,28,0,0,0,130,0,137,50,0
2023/24,Torey Krug,STL,D,4,35,39,-31,32,0,0,0,162,0,64,111,0
2023/24,Scott Laughton,PHI,C,13,26,39,-9,69,0,0,0,167,0,155,56,0
2023/24,Evan Rodrigues,FLA,C,12,27,39,26,34,0,0,0,186,0,104,28,0
2023/24,Sean Couturier,PHI,C,11,27,38,-10,29,0,0,0,192,0,59,41,0
2023/24,Jake Neighbours,STL,LW,27,11,38,-16,21,0,0,0,145,0,138,45,0
2023/24,Cole Perfetti,WPG,C,19,19,38,13,12,0,0,0,142,0,26,23,0
2023/24,Jake Sanderson,OTT,D,10,28,38,8,23,0,0,0,158,0,49,139,0
2023/24,James van Riemsdyk,BOS,LW,11,27,38,7,20,0,0,0,142,0,34,22,0
2023/24,Tomáš Hertl,2TM,C,17,21,38,-28,22,0,0,0,124,0,59,49,0
2023/24,Tomáš Hertl,SJS,C,15,19,34,-26,22,0,0,0,113,0,48,46,0
2023/24,Tomáš Hertl,VEG,C,2,2,4,-2,0,0,0,0,11,0,11,3,0
2023/24,Matty Beniers,SEA,C,15,22,37,-11,20,0,0,0,133,0,52,44,0
2023/24,Nick Foligno,CHI,LW,17,20,37,-29,57,0,0,0,146,0,192,39,0
2023/24,Anders Lee,NYI,LW,20,17,37,2,68,0,0,0,185,0,176,54,0
2023/24,Vladislav Namestnikov,WPG,C,11,26,37,17,37,0,0,0,95,0,92,45,0
2023/24,Stefan Noesen,CAR,RW,14,23,37,13,33,0,0,0,111,0,118,25,0
2023/24,Rickard Rakell,PIT,RW,15,22,37,4,22,0,0,0,165,0,112,40,0
2023/24,Jaccob Slavin,CAR,D,6,31,37,21,8,0,0,0,151,0,55,120,0
2023/24,Mason Appleton,WPG,C,14,22,36,16,26,0,0,0,122,0,107,44,0
2023/24,Danton Heinen,BOS,C,17,19,36,16,28,0,0,0,119,0,83,46,0
2023/24,Nils Höglander,VAN,LW,24,12,36,23,51,0,0,0,120,0,100,19,0
2023/24,Alex Killorn,ANA,C,18,18,36,-15,54,0,0,0,145,0,72,25,0
2023/24,Gabriel Vilardi,WPG,C,22,14,36,11,14,0,0,0,117,0,14,24,0
2023/24,Jason Dickinson,CHI,C,22,13,35,4,43,0,0,0,126,0,143,73,0
2023/24,Dylan Guenther,ARI,RW,18,17,35,-1,14,0,0,0,121,0,32,24,0
2023/24,Erik Haula,NJD,LW,16,19,35,-1,54,0,0,0,156,0,94,49,0
2023/24,Boone Jenner,CBJ,C,22,13,35,-8,28,0,0,0,155,0,119,74,0
2023/24,Mathieu Joseph,OTT,RW,11,24,35,-4,51,0,0,0,124,0,105,49,0
2023/24,Matthew Knies,TOR,LW,15,20,35,9,45,0,0,0,115,0,169,30,0
2023/24,Adam Lowry,WPG,LW,12,23,35,17,57,0,0,0,119,0,181,65,0
2023/24,Anton Lundell,FLA,C,13,22,35,19,46,0,0,0,166,0,61,40,0
2023/24,Colton Sissons,NSH,C,15,20,35,-6,38,0,0,0,131,0,137,57,0
2023/24,Tom Wilson,WSH,RW,18,17,35,-19,133,0,0,0,169,0,228,74,0
2023/24,Artturi Lehkonen,COL,LW,16,18,34,11,14,0,0,0,103,0,49,18,0
2023/24,Alex Newhook,MTL,C,15,19,34,-11,18,0,0,0,85,0,36,31,0
2023/24,Nino Niederreiter,WPG,RW,18,16,34,12,34,0,0,0,170,0,115,42,0
2023/24,Dmitri Voronkov,CBJ,LW,18,16,34,-6,52,0,0,0,142,0,83,48,0
2023/24,Connor Zary,CGY,C,14,20,34,12,22,0,0,0,90,0,29,29,0
2023/24,Andrew Copp,DET,C,13,20,33,-2,26,0,0,0,109,0,33,51,0
2023/24,Tyson Foerster,PHI,RW,20,13,33,0,32,0,0,0,167,0,102,49,0
2023/24,Yanni Gourde,SEA,C,11,22,33,-11,62,0,0,0,156,0,156,52,0
2023/24,Connor McMichael,WSH,C,18,15,33,-20,34,0,0,0,135,0,45,39,0
2023/24,Dawson Mercer,NJD,C,20,13,33,-26,29,0,0,0,134,0,30,43,0
2023/24,Brandon Montour,FLA,D,8,25,33,1,46,0,0,0,168,0,104,67,0
2023/24,Drew O'Connor,PIT,F,16,17,33,14,20,0,0,0,160,0,53,58,0
2023/24,Jean-Gabriel Pageau,NYI,C,11,22,33,-8,13,0,0,0,101,0,196,81,0
2023/24,Alex Pietrangelo,VEG,D,4,29,33,-5,24,0,0,0,141,0,46,160,0
2023/24,Neal Pionk,WPG,D,5,28,33,9,63,0,0,0,146,0,221,118,0
2023/24,Owen Power,BUF,D,6,27,33,8,28,0,0,0,108,0,45,115,0
2023/24,Darren Raddysh,TBL,D,6,27,33,-3,21,0,0,0,101,0,75,105,0
2023/24,Michael Rasmussen,DET,C,13,20,33,8,47,0,0,0,101,0,124,76,0
2023/24,Oliver Ekman-Larsson,FLA,D,9,23,32,10,76,0,0,0,123,0,105,70,0
2023/24,Robby Fabbri,DET,C,18,14,32,-13,32,0,0,0,97,0,77,29,0
2023/24,Dakota Joshua,VAN,C,18,14,32,19,60,0,0,0,84,0,245,40,0
2023/24,Jordan Martinook,CAR,LW,14,18,32,-1,36,0,0,0,148,0,61,36,0
2023/24,Ryan McDonagh,NSH,D,3,29,32,19,31,0,0,0,91,0,38,139,0
2023/24,Darnell Nurse,EDM,D,10,22,32,3,79,0,0,0,181,0,168,172,0
2023/24,Ivan Provorov,CBJ,D,5,27,32,-11,20,0,0,0,107,0,66,155,0
2023/24,Cole Sillinger,CBJ,C,13,19,32,-4,46,0,0,0,157,0,119,74,0
2023/24,Jason Zucker,2TM,LW,14,18,32,-9,81,0,0,0,150,0,98,18,0
2023/24,Jason Zucker,ARI,LW,9,16,25,-5,58,0,0,0,104,0,74,14,0
