Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Michael Rasmussen,2023/24,13,20,33,8,47,0,4,3,101,124,76,58
Oliver Ekman-Larsson,2023/24,9,23,32,10,76,11,0,3,123,105,70,0
Robby Fabbri,2023/24,18,14,32,-13,32,12,0,3,97,77,29,70
Dakota Joshua,2023/24,18,14,32,19,60,1,0,5,84,245,40,34
Jordan Martinook,2023/24,14,18,32,-1,36,0,1,1,148,61,36,48
Ryan McDonagh,2023/24,3,29,32,19,31,4,0,1,91,38,139,0
Darnell Nurse,2023/24,10,22,32,3,79,5,1,2,181,168,172,0
Ivan Provorov,2023/24,5,27,32,-11,20,7,0,0,107,66,155,0
Cole Sillinger,2023/24,13,19,32,-4,46,1,1,1,157,119,74,450
Jason Zucker,2023/24,14,18,32,-9,81,10,0,0,150,98,18,13
Jason Zucker,2023/24,9,16,25,-5,58,9,0,0,104,74,14,11
Jason Zucker,2023/24,5,2,7,-4,23,1,0,0,46,24,4,2
Dylan DeMelo,2023/24,3,28,31,46,36,1,0,0,83,167,139,0
Lars Eller,2023/24,15,16,31,-1,32,5,2,0,154,55,56,487
Brendan Gallagher,2023/24,16,15,31,-24,74,4,0,2,154,63,35,14
Erik Gustafsson,2023/24,6,25,31,3,35,9,0,1,93,63,66,0
Tyler Johnson,2023/24,17,14,31,-35,26,16,0,1,112,48,31,156
Seth Jones,2023/24,8,23,31,-15,34,9,0,4,172,77,131,0
Ilya Mikheyev,2023/24,11,20,31,1,4,0,0,1,147,49,20,8
Ondřej Palát,2023/24,11,20,31,-9,37,5,0,0,108,92,49,4
Jack Roslovic,2023/24,9,22,31,-10,16,4,1,3,117,28,24,54
Jack Roslovic,2023/24,6,17,23,-9,14,3,1,2,86,22,19,44
Jack Roslovic,2023/24,3,5,8,-1,2,1,0,1,31,6,5,10
Zach Benson,2023/24,11,19,30,-3,36,2,0,1,98,35,35,5
Thomas Chabot,2023/24,9,21,30,-3,22,7,0,0,118,44,88,0
Ryan Donato,2023/24,12,18,30,-14,26,3,0,0,149,104,24,98
Justin Faulk,2023/24,2,28,30,-2,39,7,1,1,132,83,104,0
Marcus Johansson,2023/24,11,19,30,-15,22,6,0,0,112,44,29,6
Ryan McLeod,2023/24,12,18,30,10,10,1,2,3,106,65,34,365
K'Andre Miller,2023/24,8,22,30,5,49,1,1,3,96,148,117,0
Joshua Norris,2023/24,16,14,30,-6,22,12,1,3,115,86,30,328
Marcus Pettersson,2023/24,4,26,30,28,44,0,0,1,106,121,159,0
Jaden Schwartz,2023/24,13,17,30,-15,24,10,0,0,117,46,27,92
Jordan Staal,2023/24,10,20,30,-14,44,1,4,3,123,142,41,799
Alexandre Texier,2023/24,12,18,30,-5,38,2,2,1,109,57,36,6
Cameron York,2023/24,10,20,30,-13,44,6,2,1,134,76,174,0
Alexander Wennberg,2023/24,10,20,30,0,14,6,1,4,90,46,75,552
Alexander Wennberg,2023/24,9,16,25,1,14,4,1,4,80,37,65,470
Alexander Wennberg,2023/24,1,4,5,-1,0,2,0,0,10,9,10,82
Michael Carcone,2023/24,21,8,29,-2,35,2,1,4,111,56,22,4
Leo Carlsson,2023/24,12,17,29,-11,16,9,0,0,109,28,25,195
Yegor Chinakhov,2023/24,16,13,29,-3,6,2,0,3,110,43,28,1
Kevin Hayes,2023/24,13,16,29,0,12,5,0,2,153,42,17,478
Tyler Myers,2023/24,5,24,29,16,77,0,2,0,93,110,136,0
Aliaksei Protas,2023/24,6,23,29,-3,8,0,1,1,113,34,49,42
Pius Suter,2023/24,14,15,29,17,16,5,0,3,105,54,23,186
Sean Walker,2023/24,10,19,29,11,50,1,3,1,150,118,127,0
Sean Walker,2023/24,6,16,22,9,34,1,3,1,109,86,98,0
Sean Walker,2023/24,4,3,7,2,16,0,0,0,41,32,29,0
Bowen Byram,2023/24,11,18,29,0,53,1,0,0,84,94,104,0
Bowen Byram,2023/24,8,12,20,1,40,0,0,0,63,60,75,0
Bowen Byram,2023/24,3,6,9,-1,13,1,0,0,21,34,29,0
Cam Atkinson,2023/24,13,15,28,-22,27,6,0,3,175,35,46,12
Teddy Blueger,2023/24,6,22,28,4,31,0,4,0,97,98,43,415
Pierre Engvall,2023/24,10,18,28,4,18,7,0,1,128,28,21,25
Jake Evans,2023/24,7,21,28,-1,24,0,1,1,81,86,65,593
Jordan Greenway,2023/24,10,18,28,11,64,3,1,1,107,141,65,17
Alexander Holtz,2023/24,16,12,28,-15,14,2,0,3,122,44,17,8
Nick Leddy,2023/24,3,25,28,14,14,1,2,0,82,51,127,0
Jake McCabe,2023/24,8,20,28,20,56,2,1,3,73,219,129,0
Pavel Mintyukov,2023/24,4,24,28,-20,24,7,1,0,88,85,65,0
Ryan Poehling,2023/24,11,17,28,-11,6,2,4,1,111,62,101,461
Damon Severson,2023/24,9,19,28,-10,51,3,2,1,88,45,83,0
Joe Veleno,2023/24,12,16,28,-16,25,5,1,1,86,108,35,305
Michael Amadio,2023/24,14,13,27,4,16,5,0,2,117,48,34,69
Jonas Brodin,2023/24,7,20,27,22,16,1,0,1,117,21,142,0
Jack Drury,2023/24,8,19,27,4,33,7,0,0,106,30,35,367
Adam Fantilli,2023/24,12,15,27,-21,16,3,0,1,115,63,25,171
Alex Iafallo,2023/24,11,16,27,14,6,5,1,2,120,43,67,8
Jesperi Kotkaniemi,2023/24,12,15,27,-4,36,2,1,0,128,56,33,333
Eetu Luostarinen,2023/24,12,15,27,1,26,2,1,2,119,129,56,96
Shane Pinto,2023/24,9,18,27,9,14,6,0,1,110,39,31,251
